,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
1499,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5
1500,7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6
1501,7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4
1502,7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8
1503,6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11
1504,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4
1505,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95
1506,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8
1507,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4
1508,7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6
1509,7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1
1510,6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7
1511,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8
1512,6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4
1513,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5
1514,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333
1515,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25
1516,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6
1517,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3
1518,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5
1519,6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2
1520,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3
1521,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05
1522,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6
1523,6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4
1524,6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10
1525,6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7
1526,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6
1527,7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8
1528,7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1
1529,7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2
1530,6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3
1531,6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2
1532,7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9
1533,8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9
1534,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7
1535,7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7
1536,6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3
1537,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2
1538,6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12
1539,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9
1540,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6
1541,7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9
1542,6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75
1543,11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4
1544,8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2
1545,6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1
1546,7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2
1547,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1
1548,11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4
1549,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4
1550,7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5
1551,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4
1552,6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3
1553,7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4
1554,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11
1555,7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55
1556,6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9
1557,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11
1558,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5
1559,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9
1560,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9
1561,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9
1562,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1
1563,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1
1564,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1
1565,6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9
1566,6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2
1567,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1
1568,7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2
1569,6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5
1570,6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4
1571,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1
1572,7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5
1573,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5
1574,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5
1575,7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8
1576,8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8
1577,6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9
1578,6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3
1579,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3
1580,7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9
1581,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3
1582,6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9
1583,6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8
1584,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6
1585,7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5
1586,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4
1587,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9
1588,7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8
1589,6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2
1590,6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6
1591,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6
1592,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11
1593,6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5
1594,6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5
1595,5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2
1596,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11
1597,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2
